TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-132758,,Focus is not shown when navigating through the options in the Month drop-down in the Calendar widget,Accessibility,,,,"*Issue Description:*
The focus is not shown when navigating through the options in the month drop-down in the Calendar widget.

*User Interface Impact:* No

*Steps to Reproduce:* 

# Log in as a caseworker. 
# Click the Calendar workspace.
# Click the small calendar icon next to the ?Go to Date? field to open the Calendar widget.
# On the Calendar widget, navigate to the month drop-down and open it using the down arrow key.
# Navigate through all the month options using the up/down arrow keys.
# Issue: The focus is not visible when navigating through the month options. 

*Resolution:*
The focus is now visible when navigating through the options in the month drop-down of the Calendar widget.

"
SPM-130756,,MultiValueMap class in the org.apache.commons.collections4.map package has been deprecated since commons collections 4.1,CEF,Technical Services,,,"In the Server Java Development Environment (SDEJ) deliverable, the API provided by curam.util.collection.MultiValuedMap class has been marked as deprecated. It is replaced with curam.util.collection.CuramMultiValuedMap. The CuramMultiValuedMap class offers the same multimap support as MultiValuedMap. The new CuramMultiValuedMap implementation is based on that of org.apache.commons.collections4.multimap.ArrayListValuedHashMap offering its generic API for accessing and setting multimap values.  

Customers using curam.util.collection.MultiValuedMap should now use the  curam.util.collection.CuramMultiValuedMap  class to provide their required multimap support and remove any dependencies on curam.util.collection.MultiValuedMap which will be removed in a future Cúram release .

Example:- 

Old code using {{curam.util.collection.MultiValuedMap}}

{noformat}MultiValuedMap<K, V> multiValuedMap = MultiValuedMap<K, V>(revertedMap);    {noformat}

can be replaced with

{noformat}final CuramMultiValuedMap<K, V> multiValuedMap = new CuramMultiValuedMap<K, V>();
multiValuedMap.putAll(revertedMap);{noformat}

"
SPM-130733,,Remove use of java.util.Observer and Observable in CuramConfiguration,CEF,,,,"Due to deprecation in the JDK, the following interface method has been removed to eliminate the dependency on java.util.Observable:

* curam.util.configuration.CuramConfiguration#getObservable()

The following new methods replace the functionality:

* curam.util.configuration.CuramConfiguration#addObserver(java.beans.PropertyChangeListener)
* curam.util.configuration.CuramConfiguration#deleteObserver(java.beans.PropertyChangeListener)

Any custom implementations of ?curam.util.configuration.CuramConfiguration? will need to be modified to implement the new methods. Additional information on the use of PropertyChangeListener can be found at [https://docs.oracle.com/javase/8/docs/api/java/beans/PropertyChangeListener.html|https://docs.oracle.com/javase/8/docs/api/java/beans/PropertyChangeListener.html|smart-link] .

"
SPM-130425,,Update the commons-validator JAR file to the latest version,Third Party Updates,,,,"Apache Commons Validator provides the building blocks for both client-side validation and server-side data validation. It is used in the Cúram product as part of the client infrastructure.

The version of the commons-validator library has now been updated from 1.7 to 1.9. The new version contains some defect fixes and minor enhancements. As a result of this upgrade, the following changes have been made to the Cúram deliverable.

* CuramSDEJ/lib/third&#95;party&#95;version.properties  - the version of the commons-validator JAR file has been updated.
* CuramSDEJ/lib/commons-validator-1.9.jar  - new JAR added. 
* CuramSDEJ/lib/commons-validator-1.7.jar  - old JAR removed.
* CuramCDEJ/lib/ext/jar/commons-validator-1.9.jar  - new JAR added. 
* CuramSDEJ/lib/ext/jar/commons-validator-1.7.jar  - old JAR removed.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR files that are specified above.

"
SPM-130423,,Update the commons-net JAR file to the latest version,Third Party Updates,,,,"The Apache Commons Net library contains a collection of network utilities and protocol implementations. Supported protocols include FTP, SMTP(S), Telnet and others. 

The version of the commons-net JAR that is used by Cúram has now been updated from 3.9.0 to 3.11.1. This new JAR file contains some minor bug fixes and enhancements.

As a result of this upgrade, the following changes have been made in the Java Development Environment and Rest deliverables.

* CuramSDEJlibthird&#95;party&#95;version.properties - the version of the specified commons-net JAR file has been updated.
* CuramSDEJlibcommons-net-3.11.1.jar - the version of the JAR has been updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.

"
SPM-130415,,Update the commons-io JAR file to the latest version,Third Party Updates,,,,"The Apache Commons IO library contains utility classes, stream implementations, file filters, file comparators, endian transformation classes, and much more. Its usage in the Cúram application is related to the client generators, the XML Server, and also Axis 2 web services. 

The version of the commons-io library used by Cúram has now been updated from 2.13.0 to 2.18.0. The new version contains some defect fixes and minor enhancements. 

As a result of this upgrade, the following changes have been made to the Cúram deliverable.

* CuramSDEJlibthird&#95;party&#95;version.properties - the version of the commons-io JAR file has been updated.
* CuramSDEJxmlserverthird&#95;party&#95;version.properties - the version of the commons-io JAR file has been updated.

The changes to the commons-io JAR file include:

* CuramCDEJlibextjarcommons-io-2.18.0.jar - version updated from 2.13.0 to 2.18.0.
* CuramSDEJxmlservercommons-io-2.18.0.jar - version updated from 2.13.0 to 2.18.0.
* CuramSDEJlibcommons-io-2.18.0.jar - version updated from 2.13.0 to 2.18.0.
* CuramSDEJlibaxis2commons-io-2.18.0.jar - version updated from 2.13.0 to 2.18.0.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR files that are specified above.

"
SPM-130129,DT036793,No structural markup to establish the relationship between labels and their values for read-only fields in a cluster,Accessibility,,,,"*Issue Description:*
There is no structural markup to logically associate labels with their corresponding values for read-only fields in a cluster. As a result, screen reader users, unlike visual users, are unable to perceive the relationship between the label and the value.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Click the Inbox tab.
# Expand the shortcuts panel and select New Task Query to open the New Task Query dialog.
# Fill in the mandatory fields to define the query, then save it.
# From the shortcuts menu, select My Task Queries.
# Locate the newly created query and click Run.
# Inspect the read-only fields in the Criteria Cluster (Status, Category, Assigned To, etc.).
# Issue: There is no structural markup to logically associate labels with their corresponding values for read-only fields in the cluster.

*Resolution:*
The issue was resolved by implementing a descriptive list structure that associates each label with its corresponding value. This allows screen reader users to understand the relationship between labels and values accurately, improving overall accessibility.


"
SPM-130092,DT036790,Inconsistency in keyboard navigation focus colors across the application,Accessibility,,,,"*Issue Description:*
The inconsistency in focus colors throughout the interface creates usability challenges by disrupting visual coherence and making it harder for users to identify the focused element. This can lead to confusion, frustration, and errors during interaction.

*User Interface Impact:* No

*Steps to Reproduce*:

# Log in as a caseworker.
# Navigate to the home page using the Tab key.
# Issue: Observe the inconsistent focus colors.

*Resolution:*
The focus color across the interface has been updated to ensure consistency throughout the application.

"
SPM-129617,DT036752,Missing validation and security checks in Verifications,SOL,Universal Access,APIs,,"*Issue Description:*
The Verifications API method for creating caseworker tasks is missing necessary security checks.

*User Interface Impact:* No

*Resolution:*
Authorization checks have been added to the CaseworkerVerificationTaskManagerAPI.createCaseworkerTaskOnUpload method to ensure that only authorized users can invoke this API.

"
SPM-129616,DT036751,Missing validation and security checks in motivations,SOL,Income Support HCR,APIs,,"*Issue Description:*
Motivations API for creating motivation is missing security checks.

*User Interface Impact:* No

*Resolution:*
Authorization checks have been included within the HCRMotivationAPI.createMotivation method to verify that the user is also the owner of the application form.

"
SPM-129338,DT037075,"Incorrect use of HTML and accessibility attributes causes invalid announcement of headings, buttons and regions on the Evidence Dashboard for screen reader users",Accessibility,,,,"*Issue Description:*
The Evidence Dashboard contains numerous accessibility issues, making it difficult for screen reader users to navigate. Invalid and confusing text is announced when navigating through the dashboard, and interactive elements such as the expand/collapse buttons and filter buttons do not function as expected. Additionally, their status is not accurately reflected to the screen reader user. The labels for these interactive elements are also not unique, which may confuse the screen reader user. Furthermore, users must hover over an evidence row with a mouse or tab to it using a keyboard to reveal the button to create a new piece of evidence.

*User Interface Impact:* Yes

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person.
# Create an integrated case for the person and navigate to the Evidence tab, where the Evidence Dashboard can be found.
# Enable a screen reader and navigate through the dashboard.
# Interact with the dashboard by expanding and collapsing the panels, using the filter buttons and creating new evidence.
# Issue: Confusing and invalid text is announced, and interactive elements do not function as expected, which makes it difficult for screen reader users to navigate and interact with the dashboard.

*Resolution:*
The Evidence Dashboard has been updated to ensure that clear and concise text is announced to screen reader users when navigating through the dashboard. Interactive elements, such as the expand/collapse and filter buttons, now function correctly. The button to create a new piece of evidence is now revealed by default and no longer requires user interaction to display.

Additionally, unique labels have been provided for all interactive elements, and their programmatic status is accurately updated. This ensures that screen reader users receive full context for the current element. To support this, four message entries in the related curam.message.EVIDENCEDASHBOARD message file have been deprecated. New message file entries have been added, allowing arguments to be inserted into the messages to provide context to screen reader users regarding the current element.

"
SPM-129252,,Add Support for Red Hat Enterprise Linux (RHEL) Server 9 as a build platform for the Cúram application,Third Party Updates,,,,"Support is now added for Red Hat Enterprise Linux (RHEL) Server 9. This platform can be used for both the building and deployment of the Cúram application. 

See the associated operating system prerequisites for this version of the product for further details of this support.

"
SPM-129144," DT037161",Focus not visible when error message list receives focus,Accessibility,,,,"*Issue Description:*
The focus indicator is not visible when an error message receives focus.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Click the ?Search for a Person? link in the Quick Links pod to open the Person Search page.
# On the Person Search, without entering any data, click the Search button.
# Issue: An error message displays ?You must specify some search criteria,' but there is no visible focus indicator.

*Resolution:*
The focus indicator is now visible when an error message receives focus.

"
SPM-127671,,Selecting an option in the Evidence Dashboard group listbox causes the focus to jump to other parts of the page,Accessibility,,,,"*Issue Description:*
When an option in the Evidence Dashboard's Display Evidence Group drop-down menu is selected and the page reloads, the focus does not return to the drop-down field.

*User Interface Impact:* No

*Prerequisites:*

# Log in as an administrator.
# Click Integrated Cases below Cases in the shortcuts panel.
# Select an Integrated Case type.
# Navigate to the Dashboard Group page in the Evidence tab.
# Create several Dashboard Groups.
# Log out

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a person and create an integrated case for which the Dashboard Groups were configured.
# On the integrated case, navigate to the Dashboard page in the Evidence tab.
# Navigate to the Display Evidence group drop-down field.
# Open the drop-down and select an option.
# Issue: When the page reloads, the focus does not return to the Display Evidence Group drop-down field.

*Resolution:*
The focus is now restored to the Display Evidence Group drop-down field on the Evidence Dashboard when an option is selected, and the page reloads.

"
SPM-127670,,When an option in the Evidence Dashboard group listbox receives focus it fails minimum contrast,Accessibility,,,,"*Issue Description:*
When a menu item in the Evidence Dashboard's Display Evidence Group drop-down menu receives focus, the text and the background do not have sufficient color contrast ratios.

*User Interface Impact:* No

*Prerequisites:*

# Log in as an administrator.
# Click Integrated Cases below Cases in the shortcuts panel.
# Select an Integrated Case type.
# Navigate to the Dashboard Group page in the Evidence tab.
# Create several Dashboard Groups.
# Log out

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a person and create an integrated case for which the Dashboard Groups were configured.
# On the integrated case, navigate to the Dashboard page in the Evidence tab.
# Navigate to the Display Evidence group drop-down field.
# Open the drop-down and navigate through the options.
# Issue: The text and the background do not have sufficient color contrast ratios.

*Resolution:*
The text and background colors used when menu items receive focus in the Evidence Dashboard's Display Evidence Group drop-down now have sufficient color contrast ratios.

"
SPM-127214,,Resolve issues related to passing non-conforming file paths to WebSphere wsadmin Jython scripts during target configuration,CEF,Application Development Environment,Server Development Environment,,"*Issue Description:*
An issue with the Cúram configure target running against a WebSphere Application Server was resolved, whereby non-conforming paths could be passed to wsadmin when configuring a WebSphere Application Server instance. 

*User Interface Impact:* No

*Steps to Reproduce:* N/A

*Resolution:*
The paths being passed to wsadmin are now being sanitised to ensure that non-conforming characters do not exist in the path.

*Technical:* 
The following files have been updated:

* ../CuramSDEJ/bin/app_configureWAS.xml

"
SPM-127029,DT036651,Element <p> not allowed as child of element span in this context,Accessibility,,,,"*Issue Description:*
Pages with sortable table headers are incorrectly structured and contain invalid HTML. Specifically, a <p> (paragraph) element cannot be a direct child of a  <span> element. Invalid or improperly structured HTML can negatively impact the user experience, particularly for individuals relying on assistive technologies. For example, screen readers may get stuck, read content inaccurately, or skip over important information.

*User Interface Impact:* No

*Steps to Reproduce*:

# Log in as an administrator.
# Click My Organization under Organization in the shortcuts panel.
# Click Structures and select Organization Structures.
# Click the Name hyperlink of one of the structures.
# On the opened structure, click Position and select All Positions.
# Right-click on the pagination tab at the bottom and select Inspect to view the HTML.
# Issue: The <p> element is a child of the <span> element.

*Resolution:*
The page has been updated to use valid and correctly structured HTML. The invalid <span><p> structure has been replaced with a more appropriate <button><span> structure, ensuring proper accessibility and compliance with standards.

"
SPM-126377,DT036603,Specific task types are not closed automatically by the application after incoming evidence issues have been resolved,CEF,Business Services,Workflow,,"*Issue Description:*
The following three problematic scenarios relating to tasks have been raised:

Scenario 1: 'No Supervisor existing for Case XXXXX submitted for approval' task could be closed off manually even without a supervisor available. 

Scenario 2: 'New Incoming Evidence on Case xxx that needs to be resolved' task does not close automatically when incoming evidence is resolved.

Scenario 3: 'New In-edit Evidence on Case xxx as evidence failed to activate' task can not be manually closed when in-edit evidence is resolved.

*User Interface Impact:* No

*Steps to Reproduce:*

*Scenario 1:*

# Log in as a caseworker.
# Register a new person.
# Create an integrated case.
# Create a product delivery case.
# Update the Position and PositionReportingLink database tables as follows. This removes supervisors from the organizational structure.
## UPDATE POSITION SET LEADPOSITIONIND = '0'
## UPDATE POSITIONREPORTINGLINK SET RECORDSTATUS = 'RST2'
# Submit the product delivery for approval.
# Navigate to the tasks tab on the product delivery.
# Click the task ?No Supervisor existing for Case XXXXX submitted for approval.?
# On the task home page, select 'Confirm that the supervisor exists'
# Click Yes on the dialog box to confirm.
# Issue: The task gets closed without the supervisor present.

*Scenario 2:*

# Log in as an administrator.
# Select Evidence Sharing within Rules and Evidence on the shortcuts panel.
# Create an identical evidence-sharing configuration from one integrated case type to another integrated case type.
# Set Trusted Source = No
# Log in as a caseworker.
# Register a new person.
# Create two integrated cases for the registered person i.e. the types configured for sharing in the previous step.
# On the first case, navigate to the Evidence tab.
# Add evidence and apply evidence changes.
# On the second case, a 'New Incoming Evidence on Case xxx that needs to be resolved' task is created within the Tasks tab.
# Navigate to the Evidences tab and select Incoming Evidence.
# Resolve the incoming evidence by adding them to the case.
#  Issue: The task 'New Incoming Evidence on Case xxx that needs to be resolved' is not closed even after the incoming evidence is resolved.

*Scenario 3:*

# Log in as a caseworker.
# Register a new person.
# Submit an application
# On the application case, delete some evidence that would trigger mandatory evidence validations on the related integrated case.
# Authorize the application case.
# On the integrated case that gets created, evidence failed to activate and a new task 'New In-edit Evidence on Case xxx as evidence failed to activate' is created within the Tasks tab.
# Navigate to the evidence tab and apply changes to activate the evidence on the integrated case.
# A validation error for the mandatory evidence is shown.
# Add the missing evidence and apply evidence changes. 
# Open the task and click Add To My Tasks.
# Now click Close on the task.
# Issue: An error message is displayed preventing the task from being closed: ?Task XXX cannot be closed from this page.?

*Resolution:*
Scenario 1: Validations have been included to confirm that a supervisor exists before the task gets closed.

Scenario 2: This issue has been resolved and the task 'New Incoming Evidence on Case xxx that needs to be resolved' gets closed when all the incoming evidence is resolved.

Scenario 3: It is now possible to manually close the task. A new version of the AdvancedEvidenceSharingInEditTask workflow has been added to facilitate this manual closure.

*Upgrade Impact:*
For Scenario 3, any existing in-progress tasks will be created using the old workflow version. These tasks will not be affected by the new workflow, and a caseworker will still not be able to manually close them. Once the new workflow version is released and deployed, new tasks will be created, and a caseworker will be able to manually close them.




"
SPM-123729,,Update the ANTLR JAR file to the latest version,Third Party Updates,,,,"ANTLR (ANother Tool for Language Recognition) is a parser generator for reading, processing, executing, or translating structured text or binary files. It's widely used to build languages, tools, and frameworks. From a grammar perspective, ANTLR generates a parser that can build and walk parse trees.

ANTLR is used either directly or indirectly in Cúram, including IEG custom function processing, workflow transition condition processing, GraphQL processing and any usages of Classic Rules. 

The version of the ANTLR library has now been updated from 3.3 to 4.9.3. The upgrade to ANTLR 4.9.3 ensures compatibility and functionality for the GraphQL infrastructure provided as part of the REST deliverable. As a result of this upgrade, the following changes have been made to the Cúram deliverable.

* CuramSDEJ/lib/third&#95;party&#95;version.properties - the version of the ANTLR JAR file has been updated.
* CuramCDEJ/lib/ext/jar/antlr-4.9.3.jar  - version of the JAR updated.
* CuramSDEJ/lib/antlr-4.9.3.jar - version of the JAR updated.
* EJBServer/components/Rest/graphql_lib/antlr-4.9.3.jar JAR added.
* EJBServer/components/Rest/graphql_lib/antlr-runtime-4.7.2.jar JAR removed.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.

"
SPM-123610,,Remove the 'which' JAR file from the CDEJ deliverable,Third Party Updates,,,,"The ?which.jar? file delivered in the CuramCDEJ was used in logic which in the past reported on the version of Xalan and Xerces used in that infrastructure. However, this logic has been defunct for a number of releases now.

Therefore the ?which.jar? file and associated logic have been removed from the CuramCDEJ deliverable. As a result of this removal, the following changes have been made to the Cúram deliverable.

* CuramCDEJlibextjarwhich.jar - this JAR file has been removed.

We recommend that you update any references in custom scripts and other artifacts to remove any references to the JAR file that is specified above.

"
SPM-123561,"DT036467, PO08271"," Wrong validation message displayed when adding a new bank account for a duplicate person",CEF,Business Services,Participant Management,,"*Issue Description:*
An incorrect validation message is displayed when adding a new bank account for a duplicate person. The system displays the following incorrect validation message, 'Bank Account details of a client that is currently marked as a duplicate cannot be modified.'.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person.
# Click the Evidence tab.
# Use the page-level action to add a Bank Account with any details.
# Register a second Person.
# Click the Administration tab and select the Duplicates page.
# Use the page-level action to mark the first person as a duplicate of the second person.
# Close and reopen the first person where the context panel should now display 'DUPLICATE'.
# Click the Evidence tab.
# Use the page-level action to attempt to add a Bank Account with any details.
# Issue: The system displays the incorrect validation message, 'Bank Account details of a client that is currently marked as a duplicate cannot be modified.'

*Resolution:*
The evidence validation rulesets for bank account have been updated to return the correct validation message, 'New bank account details cannot be added for a client that is currently marked as a duplicate.'

*Technical:*
The following updates were made to the bank account validation ruleset attributes:

* PDCBankAccountIBANValidationRuleSet.isConcernRoleDuplicate
** Resource Message changed from ERR&#95;BANKACCOUNT&#95;XRV&#95;DUPLICATE&#95;CLIENT&#95;MODIFY to ERR&#95;BANKACCOUNT&#95;XRV&#95;DUPLICATE&#95;CLIENT&#95;CREATE
* PDCBankAccountValidationRuleSet.xml.isConcernRoleDuplicate
** Resource Message changed from ERR&#95;BANKACCOUNT&#95;XRV&#95;DUPLICATE&#95;CLIENT&#95;MODIFY to ERR&#95;BANKACCOUNT&#95;XRV&#95;DUPLICATE&#95;CLIENT&#95;CREATE

"
SPM-123059,,Remove the defunct 'doc/jdiff_api' directories from the CuramSDEJ and CuramCDEJ deliverables,Code Removal,,Infrastructure,Infrastructure,"The CuramSDEJ and CuramCDEJ ?doc/jdiff_api? directories contained Javadoc differences between two specific releases for those deliverables. The generation of content in this folder has not been supported since Cúram version 7. The directories are therefore obsolete and are being removed in this release.

This has resulted in the following changes to the CuramSDEJ and CuramCDEJ deliverables.

* CuramSDEJ/doc/jdiff_api - directory removed
* CuramCDEJ/doc/jdiff_api - directory removed

"
SPM-120162,,"Focus is not visible when the Federal Time Limit icon receives focus ",Accessibility,,,,"*Issue Description:*
The focus indicator is not visible when the Federal Time Limit icon on an Income Support case receives focus. 

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an Income Support caseworker.
# Register a new Person.
# Submit an Income Support application for Cash Assistance for this person and their child and add evidence to satisfy eligibility requirements.
# On the application, clear all verifications and apply evidence changes.
# Check Eligibility for Cash Assistance.
# Select Ready for Determination from the tab menu and click Yes on the confirmation modal.
# Authorize the Cash Assistance program.
# Navigate to the Related Cases tab on the application and open the newly created Income Support integrated case.
# Press the Tab key to navigate to the Federal Time Limit icon.
# Issue: Focus is not visible when the Federal Time Limit icon receives focus.

*Resolution:*
This issue is now resolved. The Federal Time Limit icon is now visible when it receives focus.

"
SPM-115791,PO08200,"Duplicate bank account incorrectly allowed on the system ",CEF,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
A validation check is missing to prevent duplicate bank accounts.

*Related WorkItem:* SPM-140352

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person.
# Click the Evidence tab.
# Use the page-level action to add a Bank Account with the following details:
## Account Name: Test Account
## Account Type: Personal Current
## Account Number: 12345678
## Sort Code: 90-14-87
## From: 18th March 2025
# Click Save.
# Register a second Person.
# Click the Evidence tab.
# Use the page-level action to add a Bank Account with identical details to those above.
# Issue: The system allows a duplicate bank account to be inserted onto the system.

*Resolution:*
A validation has been added to prevent a duplicate bank account being entered onto the system.



"
SPM-115621,PO08156,It is possible to delete a bank account that has been used for payments,CEF,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
A bank account that has been used to issue EFT payments to a client can currently be deleted. The system should prevent deletion of such bank accounts.

*User Interface Impact:* No

*Steps to Reproduce (Generic):*

# Log in as a caseworker.
# Register a new Person.
# Click the Evidence tab and use the page-level action to add a new bank account.
# Click the Care and Protection tab and select Cases.
# Use the page-level action to create a new integrated case.
# Add an associated product delivery to the integrated case, setting Delivery Pattern to ?Weekly By Check In Advance?.
# Add the necessary evidence and certification to make the product delivery eligible.
# Submit, approve and activate the product delivery.
# Click the Financials tab and use the page-level action on the Transactions page to issue a payment.
# Select the row-level action ?Cancel Payment? on the issued payment.
# Select Delivery Patterns from the Financials menu, select the Edit action on the current pattern and change to ?Weekly by EFT in Advance on a Monday?
# Re-open the Transactions page  and select the ?Reissue? row level action on the cancelled payment
# Navigate back to the person and delete the bank account.
# Issue: The system allows the bank account to be deleted from the person. 

*Resolution:*
A bank account can only be deleted if it has never been used for payments and is not linked to a case with a payment delivery method set to EFT.

The system enforces this by preventing deletion of any bank account that is or was set up to receive payments, even if no payments were made. The following validation is displayed ?The Bank Account is either in active use on a Case or has been used in the past for case payments, therefore it cannot be deleted.?

If payments still need to be issued on a case, a new destination bank account must be created for the nominee. If a bank account is linked to a case but hasn?t been used for payments, the caseworker can update the case with a different account and then delete the unused one. Once a bank account has been used for any payment, it cannot be deleted.

 

"
SPM-115615,PO08155,"If one bank account (primary) exists for a person that a payment has been issued against, a new bank account cannot be created",CEF,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
If a primary bank account exists for a person, which is their only bank account and a payment has been issued against it, it is not possible to modify the existing bank account or create a new bank account due to validation errors.

*User Interface Impact:* No

*Steps to Reproduce (Generic):*

# Log in as a caseworker.
# Register a new Person.
# Click the Evidence tab.
# Use the page-level action to add Bank Account evidence, ensuring to tick the Preferred checkbox.
# Create an integrated case.
# Add evidence to make the client eligible.
# Apply changes.
# Create an associated product delivery on the integrated case ensuring:
## Receipt Date is the first of the month.
## Delivery Pattern is ?Weekly by EFT in Advance on a Monday?.
# Submit, approve and activate the product delivery.
# Log in as a system administrator.
# Click Processes below Batch in the shortcuts panel.
# Search for and execute the following batch processes:
## Generate Instruction Line Items 
## Generate Instruments
# Run the batch launcher to execute the batch processes.
# Log in as a caseworker.
# Navigate to the Financials tab on the product delivery to ensure the payment has been issued.
# Search for and open the person home page. 
# Click the Evidence tab.
# Create new Bank Account evidence using the New Bank Account Wizard, tick the Preferred checkbox, and select either Save & Exit or Save & Next. 
# Issue: The following validation message is displayed: ?A payment has been issued to this bank account therefore the modification cannot be applied. A new bank account should be created.? It should be possible to create a new bank account in the New Bank Account wizard and end-date an existing bank account that has been used for payments. It should also be possible to modify the following fields on a bank account once payments have been issued: To date, Account Status, Preferred indicator, Joint Account indicator (allowed to set to true), and Account Name.

*Resolution:*
Checks are performed to determine if the bank account is closed or if the end date is set. The following new informational message is displayed on the Person Evidence Dashboard and the Active Evidence list page when Person Evidence Management (PEM) is enabled: ?The bank account has been closed or the end date set. If there are payments scheduled to this bank account, they will not be issued.?

Additional checks are performed when modifying a bank account to determine if it is receiving payments and whether any of the following fields are being modified: Account Number, Sort Code, IBAN, BIC, or From date. The following validation message is displayed: 'A payment has been issued to this bank account therefore the modification cannot be applied. A new bank account should be created.'

*Technical:*
Changes were made to the following rulesets:
- EJBServer/components/PDC/CREOLE&#95;Rule&#95;Sets/PDCBankAccountIBANValidationRuleSet.xml
- EJBServer/components/PDC/CREOLE&#95;Rule&#95;Sets/PDCBankAccountValidationRuleSet.xml
- EJBServer/components/PDC/CREOLE&#95;Rule&#95;Sets/ParticipantEvidenceRuleSet.xml

The full list of rule attributes that were updated/added are:

# PDCBankAccountIBANValidationRuleSet.ValidationResult.isIBANBeingModified (new)
# PDCBankAccountIBANValidationRuleSet.ValidationResult.isBICBeingModified (new)
# PDCBankAccountIBANValidationRuleSet.ValidationResult.isfromDateBeingModified (new)
# PDCBankAccountIBANValidationRuleSet.ValidationResult.hasRestrictedFieldChanged (new)
# PDCBankAccountIBANValidationRuleSet.ValidationResult.bankAccountsHavePaymentsValidation (updated)
# PDCBankAccountValidationRuleSet.ValidationResult.isAccountNumberBeingModified (new)
# PDCBankAccountValidationRuleSet.ValidationResult.isSortCodeBeingModified (new)
# PDCBankAccountValidationRuleSet.ValidationResult.isfromDateBeingModified (new)
# PDCBankAccountValidationRuleSet.ValidationResult.hasRestrictedFieldChanged (new)
# PDCBankAccountValidationRuleSetValidationResult.bankAccountsHavePaymentsValidation (updated)
# ParticipantEvidenceRuleSet.BankAccountEvidence.iban (new)
# ParticipantEvidenceRuleSet.BankAccountEvidence.bic (new)

Changes were made to the following UIM/VIM pages to include an informational:

# webclient/components/PDC/Evidence/PDCEvidence_listEvidence.uim
# webclient/components/PEC/Evidence/PECEvidence_workspaceActiveHighLevelView.vim

"
SPM-113584,,Upgrade Rational Software Architect Designer to the latest version,Third Party Updates,,,,"Rational Software Architect Designer (RSAD) is the supported modeling environment for the Cúram product. The version of RSAD now supported has been updated to 9.7.1.2 which supports the Windows 11 platform. Support for this new version has also been added retrospectively for the Cúram 8.1.2.0 and 8.1.3.0 releases.

"
